Year,Month,Days_Missing_Hours
2016,1,1
2016,1,2
2016,1,3
2016,1,4
2016,1,5
2016,1,6
2016,1,7
2016,1,8
2016,1,9
2016,1,10
2016,1,11
2016,1,12
2016,1,13
2016,1,14
2016,1,15
2016,1,16
2016,1,17
2016,1,18
2016,1,19
2016,1,20
2016,1,21
2016,1,22
2016,1,23
2016,1,24
2016,1,25
2016,1,26
2016,1,27
2016,1,28
2016,1,29
2016,1,30
2016,1,31
2016,2,1
2016,2,2
2016,2,3
2016,2,4
2016,2,5
2016,2,6
2016,2,7
2016,2,8
2016,2,9
2016,2,10
2016,2,11
2016,2,12
2016,2,13
2016,2,14
2016,2,15
2016,2,16
2016,2,17
2016,2,18
2016,2,19
2016,2,20
2016,2,21
2016,2,22
2016,2,23
2016,2,24
2016,2,25
2016,2,26
2016,2,27
2016,2,28
2016,2,29
2016,3,1
2016,3,2
2016,3,3
2016,3,4
2016,3,5
2016,3,6
2016,3,7
2016,3,8
2016,3,9
2016,3,10
2016,3,11
2016,3,12
2016,3,13
2016,3,14
2016,3,15
2016,3,16
2016,3,17
2016,3,18
2016,3,19
2016,3,20
2016,3,21
2016,3,22
2016,8,29
2016,10,25
2017,2,22
2017,3,7
2017,3,29
2017,4,2
2017,4,8
2017,4,27
2017,5,19
2017,5,26
2017,11,21
2017,11,26
2018,1,23
2018,5,10
2018,5,11
2018,8,1
2018,8,2
2019,2,14
2019,5,20
2020,3,14
2020,3,15
2020,3,16
2020,3,17
2020,3,18
2020,3,19
2020,3,20
2020,3,21
2020,3,22
2020,7,30
2021,7,7
2022,8,31
2022,9,1
2022,9,2
2022,9,3
2022,9,4
2022,9,5
2022,9,6
2022,9,7
2022,9,8
2022,9,9
2022,9,10
2022,9,11
2022,9,12
2022,9,13
2022,9,14
2022,9,15
2022,10,7
2022,10,13
2022,10,14
2022,10,15
2022,10,16
2022,10,17
2022,10,24
2022,10,25
2022,10,26
2022,10,27
2022,12,15
2022,12,16
2022,12,17
2022,12,18
2022,12,19
2022,12,20
2022,12,21
2022,12,22
2022,12,23
2022,12,24
2022,12,25
2022,12,26
2022,12,27
2022,12,28
2022,12,29
2022,12,30
2022,12,31
2023,1,1
2023,1,2
2023,1,3
2023,1,4
2023,1,5
2023,1,6
2023,2,2
2023,5,8
2023,5,10
2023,5,12
2023,5,15
2023,5,16
2023,5,17
2023,7,22
2023,7,23
2023,7,24
2023,8,20
2023,11,5
2023,11,6
